Month,Year,Region,Dengue_Cases,Dengue_Deaths
March,2019,Region VII,1831,9
April,2019,Region VII,571,4
May,2019,Region VII,535,6
June,2019,Region VII,1030,14
July,2019,Region VII,2124,14
August,2019,Region VII,3858,12
September,2019,Region VII,5534,16
October,2019,Region VII,3791,7
November,2019,Region VII,2823,15
December,2019,Region VII,3680,16
January,2020,Region VII,3389,8
February,2020,Region VII,3464,18
March,2020,Region VII,2119,6
April,2020,Region VII,578,2
May,2020,Region VII,290,3
June,2020,Region VII,252,2
July,2020,Region VII,355,3
August,2020,Region VII,626,5
September,2020,Region VII,473,4
October,2020,Region VII,350,0
November,2020,Region VII,303,3
December,2020,Region VII,207,0
January,2016,Region VIII,469,4
February,2016,Region VIII,376,1
March,2016,Region VIII,273,2
April,2016,Region VIII,217,0
May,2016,Region VIII,364,3
June,2016,Region VIII,426,11
July,2016,Region VIII,921,7
August,2016,Region VIII,839,7
September,2016,Region VIII,575,4
October,2016,Region VIII,421,0
November,2016,Region VIII,278,0
December,2016,Region VIII,229,3
January,2017,Region VIII,620,3
February,2017,Region VIII,438,0
March,2017,Region VIII,323,1
April,2017,Region VIII,356,1
May,2017,Region VIII,220,2
June,2017,Region VIII,236,2
July,2017,Region VIII,433,2
August,2017,Region VIII,417,0
September,2017,Region VIII,198,147
October,2017,Region VIII,144,236
November,2017,Region VIII,191,2
December,2017,Region VIII,340,2
January,2018,Region VIII,485,2
February,2018,Region VIII,313,4
March,2018,Region VIII,241,4
April,2018,Region VIII,270,1
May,2018,Region VIII,325,1
June,2018,Region VIII,503,4
July,2018,Region VIII,813,6
August,2018,Region VIII,1106,4
September,2018,Region VIII,1315,6
October,2018,Region VIII,1563,3
November,2018,Region VIII,1781,11
December,2018,Region VIII,2261,14
January,2019,Region VIII,1000,5
February,2019,Region VIII,1178,5
March,2019,Region VIII,815,1
April,2019,Region VIII,488,5
May,2019,Region VIII,427,3
June,2019,Region VIII,1031,4
July,2019,Region VIII,3699,11
August,2019,Region VIII,7557,19
September,2019,Region VIII,6084,9
October,2019,Region VIII,2634,4
November,2019,Region VIII,1218,5
December,2019,Region VIII,740,2
January,2020,Region VIII,897,3
February,2020,Region VIII,1500,3
March,2020,Region VIII,1210,2
April,2020,Region VIII,279,1
May,2020,Region VIII,192,0
June,2020,Region VIII,129,1
July,2020,Region VIII,121,0
August,2020,Region VIII,138,0
September,2020,Region VIII,120,1
October,2020,Region VIII,95,0
November,2020,Region VIII,110,1
December,2020,Region VIII,41,0
January,2016,Region IX,596,2
February,2016,Region IX,432,2
March,2016,Region IX,414,1
April,2016,Region IX,286,1
May,2016,Region IX,451,3
June,2016,Region IX,641,5
July,2016,Region IX,1025,4
August,2016,Region IX,1016,4
September,2016,Region IX,693,4
October,2016,Region IX,690,5
November,2016,Region IX,520,6
December,2016,Region IX,451,4
January,2017,Region IX,527,4
February,2017,Region IX,404,2
March,2017,Region IX,261,1
April,2017,Region IX,291,0
May,2017,Region IX,293,1
June,2017,Region IX,521,5
July,2017,Region IX,882,5
August,2017,Region IX,468,0
September,2017,Region IX,115,116
October,2017,Region IX,108,176
November,2017,Region IX,196,2
December,2017,Region IX,208,1
January,2018,Region IX,299,3
February,2018,Region IX,341,2
March,2018,Region IX,288,3
April,2018,Region IX,220,0
May,2018,Region IX,315,2
June,2018,Region IX,366,1
July,2018,Region IX,754,5
August,2018,Region IX,780,11
September,2018,Region IX,658,4
October,2018,Region IX,630,7
November,2018,Region IX,700,11
December,2018,Region IX,810,5
January,2019,Region IX,775,7
February,2019,Region IX,1003,5
March,2019,Region IX,1105,10
April,2019,Region IX,948,11
May,2019,Region IX,1602,8
June,2019,Region IX,3201,11
July,2019,Region IX,7024,20
August,2019,Region IX,4233,20
September,2019,Region IX,3304,4
October,2019,Region IX,1773,7
November,2019,Region IX,1507,3
December,2019,Region IX,972,2
January,2020,Region IX,577,3
February,2020,Region IX,593,3
March,2020,Region IX,433,1
April,2020,Region IX,115,2
May,2020,Region IX,164,1
June,2020,Region IX,124,1
July,2020,Region IX,168,0
August,2020,Region IX,213,1
September,2020,Region IX,107,3
October,2020,Region IX,79,0
November,2020,Region IX,60,0
December,2020,Region IX,51,1
January,2016,Region X,1450,4
February,2016,Region X,1184,3
March,2016,Region X,944,2
April,2016,Region X,768,3
May,2016,Region X,825,4
June,2016,Region X,973,4
July,2016,Region X,2519,10
August,2016,Region X,2897,11
September,2016,Region X,2386,10
October,2016,Region X,1794,10
November,2016,Region X,1066,6
December,2016,Region X,874,2
January,2017,Region X,1097,4
February,2017,Region X,600,2
March,2017,Region X,482,4
April,2017,Region X,451,2
May,2017,Region X,356,2
June,2017,Region X,451,1
July,2017,Region X,686,3
August,2017,Region X,1354,4
September,2017,Region X,290,243
October,2017,Region X,227,282
November,2017,Region X,276,1
December,2017,Region X,409,0
January,2018,Region X,429,4
February,2018,Region X,482,3
March,2018,Region X,655,11
April,2018,Region X,813,6
May,2018,Region X,833,6
June,2018,Region X,1535,10
July,2018,Region X,3062,16
August,2018,Region X,2856,11
September,2018,Region X,3864,9
October,2018,Region X,2341,7
November,2018,Region X,3672,6
December,2018,Region X,2955,12
January,2019,Region X,1476,0
February,2019,Region X,1710,6
March,2019,Region X,1684,14
April,2019,Region X,992,5
May,2019,Region X,1184,3
June,2019,Region X,2415,6
July,2019,Region X,3893,19
August,2019,Region X,4807,17
September,2019,Region X,4406,13
October,2019,Region X,2023,7
November,2019,Region X,1897,2
December,2019,Region X,1869,3
January,2020,Region X,945,6
February,2020,Region X,1150,3
March,2020,Region X,966,3
April,2020,Region X,323,4
May,2020,Region X,330,0
June,2020,Region X,309,0
July,2020,Region X,465,3
August,2020,Region X,597,4
September,2020,Region X,357,3
October,2020,Region X,221,5
November,2020,Region X,281,3
December,2020,Region X,281,1
January,2016,Region XI,790,6
February,2016,Region XI,711,3
March,2016,Region XI,564,8
April,2016,Region XI,557,4
May,2016,Region XI,628,5
June,2016,Region XI,1015,14
July,2016,Region XI,2330,13
August,2016,Region XI,2063,9
September,2016,Region XI,1010,12
October,2016,Region XI,1035,7
November,2016,Region XI,749,9
December,2016,Region XI,685,5
January,2017,Region XI,847,10
February,2017,Region XI,479,5
March,2017,Region XI,304,2
April,2017,Region XI,253,0
May,2017,Region XI,233,1
June,2017,Region XI,241,2
July,2017,Region XI,411,3
August,2017,Region XI,316,3
September,2017,Region XI,153,109
October,2017,Region XI,58,72
November,2017,Region XI,94,0
December,2017,Region XI,278,2
January,2018,Region XI,234,0
February,2018,Region XI,205,1
March,2018,Region XI,191,0
April,2018,Region XI,223,1
May,2018,Region XI,228,1
June,2018,Region XI,477,4
July,2018,Region XI,783,5
August,2018,Region XI,876,4
September,2018,Region XI,792,2
October,2018,Region XI,609,2
November,2018,Region XI,742,1
December,2018,Region XI,956,1
January,2019,Region XI,627,0
February,2019,Region XI,841,5
March,2019,Region XI,806,2
April,2019,Region XI,339,1
May,2019,Region XI,257,0
June,2019,Region XI,584,3
July,2019,Region XI,1115,10
August,2019,Region XI,1284,9
September,2019,Region XI,1141,9
October,2019,Region XI,534,4
November,2019,Region XI,437,2
December,2019,Region XI,501,1
January,2020,Region XI,220,2
February,2020,Region XI,312,0
March,2020,Region XI,352,3
April,2020,Region XI,80,0
May,2020,Region XI,70,0
June,2020,Region XI,51,0
July,2020,Region XI,126,2
August,2020,Region XI,185,3
September,2020,Region XI,146,2
October,2020,Region XI,113,1
November,2020,Region XI,154,0
December,2020,Region XI,127,0
January,2016,Region XII,1231,9
February,2016,Region XII,843,0
March,2016,Region XII,666,4
April,2016,Region XII,654,2
May,2016,Region XII,730,3
June,2016,Region XII,1260,5
July,2016,Region XII,3251,15
August,2016,Region XII,2582,11
September,2016,Region XII,1083,1036
October,2016,Region XII,928,1270
November,2016,Region XII,1216,6
December,2016,Region XII,1569,8
January,2017,Region XII,1512,8
February,2017,Region XII,1012,10
March,2017,Region XII,968,3
April,2017,Region XII,1070,4
May,2017,Region XII,758,2
June,2017,Region XII,806,2
July,2017,Region XII,771,2
August,2017,Region XII,733,1
September,2017,Region XII,694,10
October,2017,Region XII,549,2
November,2017,Region XII,349,0
December,2017,Region XII,391,2
January,2018,Region XII,433,1
February,2018,Region XII,378,1
March,2018,Region XII,477,2
April,2018,Region XII,476,1
May,2018,Region XII,490,2
June,2018,Region XII,850,8
July,2018,Region XII,1195,5
August,2018,Region XII,927,5
September,2018,Region XII,1016,6
October,2018,Region XII,927,5
November,2018,Region XII,855,2
December,2018,Region XII,1149,4
January,2019,Region XII,978,2
February,2019,Region XII,1588,3
March,2019,Region XII,1658,12
April,2019,Region XII,920,7
May,2019,Region XII,1286,4
June,2019,Region XII,2689,15
July,2019,Region XII,3114,15
August,2019,Region XII,3579,4
September,2019,Region XII,2434,16
October,2019,Region XII,1159,7
November,2019,Region XII,753,2
December,2019,Region XII,482,4
January,2020,Region XII,423,4
February,2020,Region XII,648,1
March,2020,Region XII,703,2
April,2020,Region XII,228,0
May,2020,Region XII,316,5
June,2020,Region XII,347,3
July,2020,Region XII,621,3
August,2020,Region XII,550,4
September,2020,Region XII,136,117
October,2020,Region XII,76,80
November,2020,Region XII,117,27
December,2020,Region XII,198,2
January,2016,Region XIII,1116,6
February,2016,Region XIII,679,3
March,2016,Region XIII,569,3
April,2016,Region XIII,420,1
May,2016,Region XIII,566,2
June,2016,Region XIII,615,2
July,2016,Region XIII,897,2
August,2016,Region XIII,851,9
September,2016,Region XIII,331,308
October,2016,Region XIII,277,481
November,2016,Region XIII,396,1
December,2016,Region XIII,498,6
January,2017,Region XIII,537,4
February,2017,Region XIII,290,1
March,2017,Region XIII,461,2
April,2017,Region XIII,207,0
May,2017,Region XIII,155,0
June,2017,Region XIII,168,0
July,2017,Region XIII,186,1
August,2017,Region XIII,216,4
September,2017,Region XIII,184,0
October,2017,Region XIII,258,1
November,2017,Region XIII,119,1
December,2017,Region XIII,207,0
January,2018,Region XIII,269,0
February,2018,Region XIII,314,1
March,2018,Region XIII,188,0
April,2018,Region XIII,216,2
May,2018,Region XIII,221,1
June,2018,Region XIII,400,0
July,2018,Region XIII,849,6
August,2018,Region XIII,803,3
September,2018,Region XIII,1062,5
October,2018,Region XIII,1060,5
November,2018,Region XIII,1361,5
December,2018,Region XIII,2310,14
January,2019,Region XIII,2036,5
February,2019,Region XIII,2047,7
March,2019,Region XIII,1088,3
April,2019,Region XIII,328,2
May,2019,Region XIII,324,0
June,2019,Region XIII,492,0
July,2019,Region XIII,749,0
August,2019,Region XIII,1132,2
September,2019,Region XIII,1201,4
October,2019,Region XIII,908,2
November,2019,Region XIII,713,0
December,2019,Region XIII,1036,2
January,2020,Region XIII,938,5
February,2020,Region XIII,1172,2
March,2020,Region XIII,816,1
April,2020,Region XIII,288,2
May,2020,Region XIII,271,0
June,2020,Region XIII,162,0
July,2020,Region XIII,122,1
August,2020,Region XIII,137,0
September,2020,Region XIII,28,31
October,2020,Region XIII,10,14
November,2020,Region XIII,12,3
December,2020,Region XIII,27,0
January,2016,NCR,1261,4
February,2016,NCR,999,7
March,2016,NCR,730,3
April,2016,NCR,448,2
May,2016,NCR,414,0
June,2016,NCR,406,0
July,2016,NCR,1436,5
August,2016,NCR,2291,6
September,2016,NCR,1291,1291
October,2016,NCR,1033,1651
November,2016,NCR,1472,8
December,2016,NCR,1221,10
January,2017,NCR,1676,7
February,2017,NCR,1161,4
March,2017,NCR,930,4
April,2017,NCR,767,6
May,2017,NCR,543,4
June,2017,NCR,1027,9
July,2017,NCR,3139,20
August,2017,NCR,4555,30
September,2017,NCR,3783,32
October,2017,NCR,3833,24
November,2017,NCR,2588,13
December,2017,NCR,2101,15
January,2018,NCR,2043,12
February,2018,NCR,1965,4
March,2018,NCR,1160,5
April,2018,NCR,897,6
May,2018,NCR,603,2
June,2018,NCR,832,6
July,2018,NCR,2608,23
August,2018,NCR,3323,14
September,2018,NCR,5131,44
October,2018,NCR,4472,32
November,2018,NCR,3335,20
December,2018,NCR,2831,12
January,2019,NCR,2082,9
February,2019,NCR,2348,9
March,2019,NCR,1377,4
April,2019,NCR,532,4
May,2019,NCR,442,3
June,2019,NCR,817,2
July,2019,NCR,1839,14
August,2019,NCR,5481,36
September,2019,NCR,11033,58
October,2019,NCR,6776,25
November,2019,NCR,4494,11
December,2019,NCR,3257,15
January,2020,NCR,2328,10
February,2020,NCR,1991,7
March,2020,NCR,1032,3
April,2020,NCR,99,0
May,2020,NCR,65,0
June,2020,NCR,57,0
July,2020,NCR,112,0
August,2020,NCR,158,1
September,2020,NCR,131,134
October,2020,NCR,129,185
November,2020,NCR,423,139
December,2020,NCR,658,4
January,2016,CAR,579,4
February,2016,CAR,276,1
March,2016,CAR,191,0
April,2016,CAR,226,1
May,2016,CAR,504,0
June,2016,CAR,1358,3
July,2016,CAR,2769,10
August,2016,CAR,2179,2
September,2016,CAR,538,548
October,2016,CAR,261,319
November,2016,CAR,161,0
December,2016,CAR,122,0
January,2017,CAR,166,0
February,2017,CAR,123,1
March,2017,CAR,76,0
April,2017,CAR,76,0
May,2017,CAR,57,0
June,2017,CAR,146,0
July,2017,CAR,532,1
August,2017,CAR,841,3
September,2017,CAR,610,3
October,2017,CAR,661,0
November,2017,CAR,391,3
December,2017,CAR,366,1
January,2018,CAR,320,0
February,2018,CAR,234,2
March,2018,CAR,173,0
April,2018,CAR,128,0
May,2018,CAR,188,0
June,2018,CAR,467,1
July,2018,CAR,1330,1
August,2018,CAR,1265,2
September,2018,CAR,1221,2
October,2018,CAR,915,0
November,2018,CAR,649,0
December,2018,CAR,694,0
January,2019,CAR,470,2
February,2019,CAR,694,2
March,2019,CAR,398,0
April,2019,CAR,163,0
May,2019,CAR,187,1
June,2019,CAR,547,1
July,2019,CAR,1226,4
August,2019,CAR,1536,6
September,2019,CAR,1472,5
October,2019,CAR,992,1
November,2019,CAR,756,4
December,2019,CAR,367,1
January,2020,CAR,229,1
February,2020,CAR,185,0
March,2020,CAR,121,0
April,2020,CAR,19,1
May,2020,CAR,31,0
June,2020,CAR,62,0
July,2020,CAR,67,0
August,2020,CAR,72,0
September,2020,CAR,39,26
October,2020,CAR,40,28
November,2020,CAR,38,15
December,2020,CAR,78,2
January,2016,BARMM,126,2
February,2016,BARMM,92,2
March,2016,BARMM,107,3
April,2016,BARMM,109,4
May,2016,BARMM,165,4
June,2016,BARMM,263,7
July,2016,BARMM,491,2
August,2016,BARMM,327,2
September,2016,BARMM,124,105
October,2016,BARMM,82,109
November,2016,BARMM,143,1
December,2016,BARMM,162,2
January,2017,BARMM,74,0
February,2017,BARMM,59,1
March,2017,BARMM,25,0
April,2017,BARMM,36,0
